Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,Latitude,Longitude,Geocoded_Address,Geocode_Quality
General Warren Apts (2-47),Charlestown,02129,96,96,0,0,0,0,96,96,0,Rental,Public,Y,,42.37335760000001,-71.06520850000001,"47 Washington St #26, Charlestown, MA 02129, USA",full_match
Geneva Apartments,Dorchester,02121,47,47,0,0,0,0,47,47,0,Rental,Private,,Y,42.3056082,-71.0775767,"Geneva Ave, Boston, MA 02121, USA",full_match
Geneva Ave 202 - Pine Street,Dorchester,02121,11,11,0,1,1,0,10,10,0,Rental,Private,Y,,42.3053349,-71.07524149999999,"202 Geneva Ave, Boston, MA 02121, USA",full_match
Geneva Avenue Elderly Housing,Dorchester,02121,45,45,0,0,0,0,45,45,0,Rental,Private,Y,,42.3056082,-71.0775767,"Geneva Ave, Boston, MA 02121, USA",full_match
Georgetowne Housing I,West Roxbury,02136,601,601,0,56,56,0,545,545,0,Rental,Private,,,42.2575711,-71.1450135,"Georgetowne Dr, Boston, MA 02136, USA",full_match
Georgetowne Housing II,West Roxbury,02136,366,366,0,0,0,0,366,366,0,Rental,Private,,,42.2575711,-71.1450135,"Georgetowne Dr, Boston, MA 02136, USA",full_match
Gleason Street MIHI Package 2,Dorchester,02121,8,8,0,0,0,0,8,8,0,Rental,Private,,,42.2977044,-71.0818787,"Gleason St, Boston, MA 02121, USA",full_match
Glenville Apartments,Allston,02134,117,117,0,0,0,0,117,117,0,Rental,Private,,Y,42.3512782,-71.1311116,"Glenville Terrace, Boston, MA 02134, USA",full_match
Glenway|Roxton NHI,Dorchester,02121,6,3,3,0,0,0,6,3,3,Ownership/Rental,Private,,,42.298123,-71.0811078,"Glenway St & Roxton St, Boston, MA 02121, USA",full_match
Goddard House,Jamaica Plain,02115,149,149,0,130,130,0,19,19,0,Rental,Private,,,,,,zip_fallback
Gomes (VUP),Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.27398609999999,-71.0697273,"1100 Washington St, Dorchester, MA 02124, USA",full_match
Goodale Rd. - HOME AGAIN,Mattapan,02126,10,5,5,0,0,0,10,5,5,Ownership/Rental,Private,,,42.2836099,-71.0934538,"Goodale Rd, Boston, MA 02126, USA",full_match
Gordon's Wood,West Roxbury,02132,42,0,42,37,0,37,5,0,5,Ownership,Private,,,42.2797554,-71.1626756,"West Roxbury, MA 02132, USA",full_match
Governor Apartments,Brighton,02134,87,87,0,0,0,0,87,87,0,Rental,Private,Y,Y,42.3524245,-71.1685936,"39 Champney St, Brighton, MA 02135, USA",full_match
Grand families,Dorchester,02124,27,27,0,1,1,0,26,26,0,Rental,Private,,,42.3542619,-71.0559536,"160 Federal St 8th Floor, Boston, MA 02110, USA",full_match
Granite 1B:VBC Apts.-Blue Hill,Roxbury,02121,30,30,0,0,0,0,30,30,0,Rental,Private,,Y,42.3070803,-71.0840766,"Blue Hill Ave, Boston, MA 02121, USA",full_match
Granite 3-Blue Hill,Roxbury,02121,148,148,0,0,0,0,148,148,0,Rental,Private,,Y,42.3251214,-71.07534869999999,"3 Blue Hill Ave, Roxbury, MA 02119, USA",full_match
Granite 4B,Roxbury,02121,141,141,0,0,0,0,141,141,0,Rental,Private,,Y,42.2824711,-71.0554647,"4 Granite Ave, Boston, MA 02124, USA",full_match
Granite-Dorchester Bay,Dorchester,02125,134,134,0,0,0,0,134,134,0,Rental,Private,,Y,,,,zip_fallback
Granite-Fields Corner,Dorchester,02121,67,67,0,0,0,0,67,67,0,Rental,Private,,Y,42.3065441,-71.08246129999999,"Grove Hall, MA 02121, USA",full_match
Granite-La Concha/Nuestra,Roxbury,02119,97,97,0,0,0,0,97,97,0,Rental,Private,,Y,42.3257874,-71.0754975,"Jardin De La Amistad Community Garden, 405 Dudley St, Boston, MA 02119, USA",full_match
Granite-Lena Park,Dorchester,02121,143,143,0,0,0,0,143,143,0,Rental,Private,,Y,42.2991995,-71.0861462,"754 Blue Hill Ave, Dorchester, MA 02121, USA",full_match
Granite-Quincy-Geneva,Dorchester,02121,94,94,0,0,0,0,94,94,0,Rental,Private,,Y,42.3071225,-71.07694479999999,"200 Columbia Rd, Dorchester, MA 02121, USA",full_match
Granite-Walnut Washington,Roxbury,02119,65,65,0,0,0,0,65,65,0,Rental,Private,,Y,42.320139,-71.08742629999999,"158 Walnut Ave, Boston, MA 02119, USA",full_match
Granite-Washington Columbia I,Dorchester,02121,326,326,0,0,0,0,326,326,0,Rental,Private,,Y,42.3095191,-71.0731474,"Columbia Terrace, Boston, MA 02121, USA",full_match
Grant Manor Apartments,Roxbury,02118,179,179,0,0,0,0,179,179,0,Rental,Private,,Y,42.33509189999999,-71.07742089999999,"1810 Washington St, Boston, MA 02118, USA",full_match
Green (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.2991853,-71.0861367,"754 Blue Hill Ave, Dorchester, MA 02121, USA",full_match
Green (VUP) CDFI,Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.2991853,-71.0861367,"754 Blue Hill Ave, Dorchester, MA 02121, USA",full_match
Greenway Apartments,East Boston,02128,27,27,0,0,0,0,27,27,0,Rental,Private,,,42.38015960000001,-71.01841739999999,"East Boston Greenway Connector, E Boston Greenway Connector, Boston, MA 02128, USA",full_match
Grove Hall Apts,Dorchester,02121,104,104,0,0,0,0,104,104,0,Rental,Private,,Y,42.307165,-71.08303200000002,"12 Castlegate Rd #9, Dorchester, MA 02121, USA",full_match
Grubow (VUP),Mattapan,02126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
Guaetta (VUP),East Boston,02128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3695431,-71.0200613,"East Boston, MA 02128, USA",full_match
Habitat Arrowhead Site (REMS Land),Dorchester,02121,19,0,19,0,0,0,19,0,19,Ownership,Private,,,42.3065441,-71.08246129999999,"Grove Hall, MA 02121, USA",full_match
Habitat Balina Pl,Dorchester,02124,2,0,2,0,0,0,2,0,2,Ownership,Private,,,42.2868655,-71.0793899,"Balina Pl, Boston, MA 02124, USA",full_match
Habitat Bradeen St,Roslindale,02131,2,0,2,0,0,0,2,0,2,Ownership,Private,,,42.2905112,-71.1210648,"Bradeen St, Boston, MA 02131, USA",full_match
Habitat Fairland St,Roxbury,02119,3,0,3,0,0,0,3,0,3,Ownership,Private,,,42.3248815,-71.0786738,"Fairland St, Boston, MA 02119, USA",full_match
Habitat Regent Street,Roxbury,02119,6,0,6,0,0,0,6,0,6,Ownership,Private,,,42.3242755,-71.0862063,"Regent St, Boston, MA 02119, USA",full_match
Habitat Woodbine St,Roxbury,02119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3190056,-71.0796979,"Woodbine St, Boston, MA 02119, USA",full_match
Habitat-Woodville Street,Roxbury,02119,4,0,4,0,0,0,4,0,4,Ownership,Private,,,42.3214469,-71.0765212,"Woodville St, Boston, MA 02119, USA",full_match
Hale House,Back Bay,02116,56,56,0,0,0,0,56,56,0,Rental,Private,Y,,42.3537688,-71.0765373,"273 Clarendon St, Boston, MA 02116, USA",full_match
Haley House,South End,02118,26,26,0,0,0,0,26,26,0,Rental,Private,,Y,42.343704,-71.073978,"23 Dartmouth St, Boston, MA 02116, USA",full_match
Hamilton St Studios/Pine Street,Dorchester,02125,52,52,0,0,0,0,52,52,0,Rental,Private,?,,42.3072488,-71.0683887,"Hamilton St, Boston, MA 02125, USA",full_match
Hammond Street,Roxbury,02120,14,14,0,0,0,0,14,14,0,Rental,Private,,,42.3358033,-71.0829124,"Hammond St, Boston, MA 02120, USA",full_match
Hampton House (2-44B),Roxbury,02118,78,78,0,0,0,0,78,78,0,Rental,Public,Y,,42.3367344,-71.0781669,"155 Northampton St, Boston, MA 02118, USA",full_match
Hano Homes II,Allston,02134,12,0,12,0,0,0,12,0,12,Ownership,Private,,,42.3554977,-71.1373981,"Hano St, Boston, MA 02134, USA",full_match
Haraska (VUP),Dorchester,02122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.29671460000001,-71.0527482,"Dorchester, MA 02122, USA",full_match
Harbor Point,Dorchester,02125,350,350,0,0,0,0,350,350,0,Rental,Private,Y,Y,42.3188917,-71.0428975,"Harbor Point Blvd, Boston, MA 02125, USA",full_match
Harborview Condominiums,South Boston,02127,25,0,25,23,0,23,2,0,2,Ownership,Private,,,,,,zip_fallback
Hargrove (VUP),Roxbury,02119,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Harrison Commons,South End,02118,196,9,187,186,0,186,10,9,1,Ownership/Rental,Private,,,42.3395864,-71.0693566,"Harrison Ave, Boston, MA 02118, USA",full_match
Harrison-Albany Block Building A,South End,02118,299,299,0,269,269,0,30,30,0,Rental,Private,,,42.3336166,-71.07280709999999,"780 Albany St, Boston, MA 021182755, USA",full_match
Hartford Manor,Roxbury,02125,18,18,0,0,0,0,18,18,0,Rental,Private,,,42.3159244,-71.0729754,"Hartford St, Boston, MA 02125, USA",full_match
Hartwell Terrace,Roxbury,02121,17,17,0,0,0,0,17,17,0,Rental,Private,Y,Y,42.3089766,-71.0844716,"Hartwell St, Boston, MA 02121, USA",full_match
Harvard Commons Coop,Dorchester,02124,45,45,0,0,0,0,45,45,0,Rental,Private,,,42.2897096,-71.0921319,"Harvard St, DORCHESTR CTR, MA 02124, USA",full_match
Hassan Apts (2-62),Hyde Park,02136,100,100,0,0,0,0,100,100,0,Rental,Public,Y,,42.2527785,-71.1299976,"Hyde Park, MA 02136, USA",full_match
Hazel Parks,Dorchester,02124,48,0,48,0,0,0,48,0,48,Ownership,Private,,,42.2926198,-71.0655606,"Clementine Park, Boston, MA 02124, USA",full_match
Hearth at 4-Corners,Dorchester,02121,54,54,0,0,0,0,54,54,0,Rental,Private,,,42.3048334,-71.0780268,"16 Ronald St, Boston, MA 02121, USA",full_match
Hearth at Olmsted Green,Dorchester,02124,59,59,0,0,0,0,59,59,0,Rental,Private,,,42.2925477,-71.0945019,"2 Kingbird Rd, Boston, MA 02124, USA",full_match
Hemenway Apartments,Fenway,02115,183,183,0,0,0,0,183,183,0,Rental,Private,Y,Y,42.3426346,-71.0902713,"Hemenway St, Boston, MA 02115, USA",full_match
Heritage Apts (2-52),East Boston,02128,296,296,0,0,0,0,296,296,0,Rental,Public,Y,Y,42.36783210000001,-71.03985589999999,"30 S Bremen St, Boston, MA 02128, USA",full_match
Heritage at Cleveland Circle,Brighton,02135,90,90,0,0,0,0,90,90,0,Rental,Private,Y,,42.336197,-71.1489856,"Cleveland Circle, Boston, MA 02135, USA",full_match
Hiawatha|Mattapan Neighborhood Homes,Mattapan,02126,8,2,6,2,1,1,6,1,5,Ownership,Private,,,42.2768676,-71.095304,"Hiawatha Rd, Boston, MA 02126, USA",full_match
Highland Homes at Fort Hill - Home Again,Roxbury,02119,18,0,18,4,0,4,14,0,14,Ownership,Private,,,42.3264149,-71.0931038,"Highland St, Boston, MA 02119, USA",full_match
Highland House,Roxbury,02119,14,14,0,0,0,0,14,14,0,Rental,Private,,,42.3264149,-71.0931038,"Highland St, Boston, MA 02119, USA",full_match
Highland Park (2-89B),Roxbury,02119,26,26,0,0,0,0,26,26,0,Rental,Public,,,42.3261495,-71.0928603,"Fort Hill, Boston, MA, USA",full_match
Highland Park Estates - Home Again,Roxbury,02119,6,1,5,0,0,0,6,1,5,Ownership/Rental,Private,,,42.3261495,-71.0928603,"Fort Hill, Boston, MA, USA",full_match
Highland Park II (Affordable),Roxbury,02119,11,1,10,3,0,3,8,1,7,Ownership/Rental,Private,,,42.3261495,-71.0928603,"Fort Hill, Boston, MA, USA",full_match
Hillside Homes at Franklin Park,Jamaica Plain,02130,12,0,12,10,0,10,2,0,2,Ownership,Private,,,42.302842,-71.0877077,"Franklin Park, 1 Franklin Park Rd, Boston, MA 02121, USA",full_match
Historic South End Apartments,South End,02116,146,146,0,0,0,0,146,146,0,Rental,Private,,Y,42.3386686,-71.0810405,"792 Tremont St, Boston, MA 02118, USA",full_match
Hoffman (VUP) CDFI,Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3044617,-71.0592566,"1353 Dorchester Ave, Dorchester, MA 02122, USA",full_match
Holgate Apartments (2-29),Roxbury,02120,81,81,0,1,1,0,80,80,0,Rental,Public,Y,,42.33557860000001,-71.0833085,"6 Greenwich St, Boston, MA 02120, USA",full_match
Holmes (VUP),Dorchester,02121,2,2,0,1,1,0,1,1,0,Rental,Private,,,42.2966162,-71.075227,"40 School St, Boston, MA 02124, USA",full_match
Home Again (Back of the Hill),Mission Hill,02120,22,6,16,0,0,0,22,6,16,Ownership/Rental,Private,,,42.3316221,-71.0976187,"1458 Tremont St, Mission Hill, MA 02120, USA",full_match
Home For Little Wanderers,Mission Hill,02120,20,20,0,0,0,0,20,20,0,Rental,Private,,,42.3310433,-71.1002735,"69 Alleghany St, Roxbury, MA 02120, USA",full_match
Homes at Peter's Park,South End,02118,10,0,10,7,0,7,3,0,3,Ownership,Private,,,42.3432202,-71.06731020000001,"Peters Park, 230 Shawmut Ave, Boston, MA 02118, USA",full_match
Homestead House,Roxbury,02121,6,6,0,1,1,0,5,5,0,Rental,Private,,,42.311455,-71.0894522,"Homestead St, Boston, MA 02121, USA",full_match
Hope House (SPO) (Production),Roxbury,02119,102,102,0,0,0,0,102,102,0,Rental,Private,,,42.3306045,-71.0744562,"8 Farnham St, Boston, MA 02119, USA",full_match
Hope House II,Dorchester,02125,24,24,0,0,0,0,24,24,0,Rental,Private,,,42.3306045,-71.0744562,"8 Farnham St, Boston, MA 02119, USA",full_match
Hopkins-Capen-Mountain-Fuller,Dorchester,02124,9,5,4,0,0,0,9,5,4,Ownership/Rental,Private,,,42.281622,-71.0731827,"Fuller St, Boston, MA 02124, USA",full_match
Horizons I,Mattapan,02126,7,7,0,1,1,0,6,6,0,Rental,Public,,,42.2719078,-71.0827102,"253 River St, Mattapan, MA 02126, USA",full_match
Howard Dacia Homes,Roxbury,02125,26,26,0,0,0,0,26,26,0,Rental,Private,,,42.3163582,-71.0768641,"Dacia St, Boston, MA 02125, USA",full_match
Howard/Woodward/Dean,Roxbury,02125,9,0,9,0,0,0,9,0,9,Ownership,Private,,,42.3195198,-71.0741496,"Dean St, Boston, MA 02125, USA",full_match
Hub 25,Dorchester,02124,278,278,0,242,242,0,36,36,0,Rental,Private,,,42.3196984,-71.0509375,"25 Morrissey Blvd, Boston, MA 02125, USA",full_match
Humboldt Avenue Apts,Roxbury,02119,20,20,0,0,0,0,20,20,0,Rental,Private,,,42.3191816,-71.0860992,"Humboldt Ave, Boston, MA 02119, USA",full_match
Humphreys St Housing Homeownership,Dorchester,02125,7,0,7,0,0,0,7,0,7,Ownership,Private,,,42.3195683,-71.0662199,"Humphreys St, Boston, MA 02125, USA",full_match
Humphreys St Housing Rental,Dorchester,02125,11,11,0,0,0,0,11,11,0,Rental,Private,,,42.3195683,-71.0662199,"Humphreys St, Boston, MA 02125, USA",full_match
Humphreys Street Homeowner,Dorchester,02125,7,0,7,0,0,0,7,0,7,Ownership,Private,,,42.3195683,-71.0662199,"Humphreys St, Boston, MA 02125, USA",full_match
Hunt (VUP),Dorchester,02121,2,2,0,0,0,0,2,2,0,Rental,Private,,,42.2780789,-71.06622349999999,"2100 Dorchester Ave, Dorchester, MA 02124, USA",full_match
Huntington House,Fenway,02115,88,88,0,0,0,0,88,88,0,Rental,Public,,,42.32617219999999,-71.1110858,"VA Medical Center, 150 S Huntington Ave STE 377, Jamaica Plain, MA 02130, USA",full_match
Hurley (VUP),Dorchester,02122,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3358931,-71.1069271,"75 Francis St, Boston, MA 02115, USA",full_match
Hyde Square Commons,Jamaica Plain,02130,18,0,18,17,0,17,1,0,1,Ownership,Private,,,42.3217296,-71.109999,"Hyde Square, 390-401 Centre St, Jamaica Plain, MA 02130, USA",full_match
Hyde Square Coop,Jamaica Plain,02130,42,42,0,0,0,0,42,42,0,Cooperative,Private,,,42.3217296,-71.109999,"Hyde Square, 390-401 Centre St, Jamaica Plain, MA 02130, USA",full_match
Hyde/Jackson Homes,Jamaica Plain,02130,13,2,11,0,0,0,13,2,11,Ownership/Rental,Private,,,42.296229,-71.116225,"Hyde Park Ave opp Walk Hill St, Boston, MA 02130, USA",full_match
Hyde-Blakemore,Roslindale,02131,13,0,13,0,0,0,13,0,13,Ownership,Private,,,42.2854998,-71.1194821,"Blakemore St, Boston, MA 02131, USA",full_match
IBA SRO Collaborative,South End,02118,11,11,0,0,0,0,11,11,0,Rental,Private,,,42.341133,-71.072828,"2 San Juan St, Boston, MA 02118, USA",full_match
Independent Living Project,Hyde Park,02136,6,6,0,0,0,0,6,6,0,Rental,Private,,,42.2527785,-71.1299976,"Hyde Park, MA 02136, USA",full_match
Indigo Block (Rental),Dorchester,02125,80,80,0,0,0,0,80,80,0,Rental,Private,,,42.3205033,-71.0675871,"67 E Cottage St, Dorchester, MA 02125, USA",full_match
Infill Apartments,Roxbury,02119,13,13,0,0,0,0,13,13,0,Rental,Private,,,42.328519,-71.0927182,"20 Highland Ave, Boston, MA 02119, USA",full_match
Infill Colaborative,Roxbury,02120,4,0,4,3,0,3,1,0,1,Ownership,Private,,,42.3507841,-71.0572849,"122 South St, Boston, MA 02111, USA",full_match
Infill I,Dorchester,02121,48,0,48,31,0,31,17,0,17,Ownership,Private,,,42.3065441,-71.08246129999999,"Grove Hall, MA 02121, USA",full_match
Infill I (MHFA) ?,Dorchester,02124,8,8,0,0,0,0,8,8,0,Rental,Public,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Ingram (VUP),Roxbury,02121,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.337067,-71.110016,"Lowry Medical Office Building, 110 Francis St, Boston, MA 02215, USA",full_match
Ink Block (Buildings 1-3),South End,02118,315,315,0,274,274,0,41,41,0,Rental,Private,,,42.3456462,-71.06278379999999,"300 Harrison Ave, Boston, MA 02118, USA",full_match
Ink Block Sepia (Building 4),South End,02118,77,0,77,69,0,69,8,0,8,Ownership,Private,,,42.3456462,-71.06278379999999,"300 Harrison Ave, Boston, MA 02118, USA",full_match
Ink Block Siena (Building 5),South End,02118,76,0,76,74,0,74,2,0,2,Ownership,Private,,,42.3456462,-71.06278379999999,"300 Harrison Ave, Boston, MA 02118, USA",full_match
Interfaith Apartments,South End,02118,69,69,0,0,0,0,69,69,0,Rental,Private,,Y,42.3377967,-71.0705763,"Roxbury, MA 02118, USA",full_match
Intervale St. HOME AGAIN,Dorchester,02121,15,2,13,0,0,0,15,2,13,Ownership/Rental,Private,,,42.3109754,-71.0785446,"Intervale St, Boston, MA 02121, USA",full_match
Intervale-Fayston,Dorchester,02121,5,3,2,0,0,0,5,3,2,Ownership/Rental,Private,,,42.3131655,-71.0773731,"Fayston St, Boston, MA 02121, USA",full_match
Intervale-Magnolia,Dorchester,02121,88,88,0,0,0,0,88,88,0,Rental,Private,,Y,42.3096757,-71.0752263,"Intervale St & Magnolia St, Boston, MA 02121, USA",full_match
J.J. Carroll Apts (2-37),Brighton,02135,64,64,0,0,0,0,64,64,0,Rental,Public,Y,,42.3627212,-71.13768,"380 Western Ave, Boston, MA 02135, USA",full_match
J.J. Meade (2-38),Dorchester,02124,40,40,0,1,1,0,39,39,0,Rental,Public,Y,,42.3220024,-71.0726428,"3 North Ave, Boston, MA 02119, USA",full_match
Jackson (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3330467,-71.0736404,"801 Massachusetts Ave 6th Floor, Boston, MA 02119, USA",full_match
Jackson Commons,Roxbury,02119,37,37,0,0,0,0,37,37,0,Rental,Private,,,42.3236158,-71.0981789,"1542 Columbus Ave, Boston, MA 02119, USA",full_match
Jackson Square Building M,Roxbury,02119,44,44,0,0,0,0,44,44,0,Rental,Private,,,42.3227841,-71.09871609999999,"225 Centre St, Boston, MA 02119, USA",full_match
Jacob's Place,Dorchester,02121,12,0,12,0,0,0,12,0,12,Ownership,Private,,,42.2854778,-71.0836238,"Jacob St, Boston, MA 02124, USA",full_match
Jamaica Plain Apartments,Jamaica Plain,02130,103,103,0,0,0,0,103,103,0,Rental,Private,,Y,42.3266934,-71.1045816,"24 Lawn St B, Boston, MA 02130, USA",full_match
Jamaica Plains Coop Serv,Jamaica Plain,02130,62,62,0,0,0,0,62,62,0,Rental,Private,Y,,42.3097365,-71.1151431,"Jamaica Plain, MA 02130, USA",full_match
Jewish Community Housing for the Elderly,Brighton,02135,61,0,61,0,0,0,61,61,0,Rental,Private,Y,,,,,zip_fallback
John Boyle O'Reilly School,South Boston,02127,32,32,0,0,0,0,32,32,0,Rental,Private,Y,Y,42.3309899,-71.0549698,"Dorchester St, Boston, MA 02127, USA",full_match
Johnson (VUP) CDFI,Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3078043,-71.06552719999999,"302 Bowdoin St, Boston, MA 02122, USA",full_match
JP Cohousing,Jamaica Plain,02130,30,0,30,27,0,27,3,0,3,Ownership,Private,,,42.3128363,-71.1189304,"50 Eliot St, Jamaica Plain, MA 02130, USA",full_match
Julia Martin House,Jamaica Plain,02130,56,56,0,0,0,0,56,56,0,Rental,Private,Y,,42.3239156,-71.10190190000002,"90 Bickford St, Boston, MA 02130, USA",full_match
Julian Phase I - HOME AGAIN,Roxbury,02119,13,2,11,0,0,0,13,2,11,Ownership/Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
KAFANM - Circle of Haitian Women (aka Women's Institute),Dorchester,02124,6,6,0,0,0,0,6,6,0,Rental,Private,,,42.2798738,-71.0807226,"330 Fuller St, Boston, MA 02124, USA",full_match
Kasanof Bakery (Rental & Ownership),Roxbury,02119,64,48,16,0,0,0,64,48,16,Ownership/Rental,Private,,,42.3422454,-71.08011570000001,"517 Columbus Ave, Boston, MA 02118, USA",full_match
Keazer (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,,,,zip_fallback
Kelley (VUP),Jamaica Plain,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3361094,-71.1068497,"75 Francis St, Boston, MA 02115, USA",full_match
Kenmore Abbey,Fenway,02215,199,199,0,1,1,0,198,198,0,Rental,Private,Y,Y,42.3486013,-71.0944954,"490 Commonwealth Ave, Boston, MA 02215, USA",full_match
Ketchen (VUP),Roxbury,02119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Keystone Apartments,Dorchester,02124,223,223,0,1,1,0,222,222,0,Rental,Private,Y,Y,42.2796029,-71.0487339,"151 Hallet St, Boston, MA 02124, USA",full_match
Kimbrough (VUP),Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.3362036,-71.1067408,"75 Francis St, Boston, MA 02115, USA",full_match
Kittredge Square,Roxbury,02119,6,0,6,3,0,3,3,0,3,Ownership,Private,,,42.280589,-71.1310319,"Kittredge St, Boston, MA 02131, USA",full_match
Laboure,South Boston,02127,18,18,0,0,0,0,18,18,0,Rental,Private,,,42.3387634,-71.0511217,"D St, Boston, MA 02127, USA",full_match
Laconia Condominiums,South End,02124,99,0,99,71,0,71,28,0,28,Ownership,Private,,,42.3420501,-71.06849129999999,"1313 Washington St, Boston, MA 02118, USA",full_match
Lafayette Lofts,Downtown,02111,42,0,42,38,0,38,4,0,4,Ownership,Private,,,42.3598887,-71.05345419999999,"200 State St, Boston, MA 02109, USA",full_match
Lamartine Homes - Home Again,Jamaica Plain,02130,10,2,8,0,0,0,10,2,8,Ownership/Rental,Private,,,42.3171095,-71.1048515,"Lamartine St, Boston, MA 02130, USA",full_match
Lancaster House Condominium,South End,02118,4,0,4,0,0,0,4,0,4,Ownership,Private,,,42.3420501,-71.06849129999999,"1313 Washington St, Boston, MA 02118, USA",full_match
Landfall Apartments,East Boston,02128,111,111,0,16,16,0,95,95,0,Rental,Private,Y,Y,42.3809637,-71.0399967,"401 Border St, Boston, MA 02128, USA",full_match
Landfall West Apts,East Boston,02128,59,59,0,0,0,0,59,59,0,Rental,Private,Y,,42.3809637,-71.0399967,"401 Border St, Boston, MA 02128, USA",full_match
Langham Court,South End,02118,84,84,0,29,29,0,55,55,0,Rental,Private,,,42.3380556,-71.0766581,"26 Worcester St, Boston, MA 02118, USA",full_match
Laramie (VUP),Hyde Park,02136,2,1,1,1,0,1,1,1,0,Rental,Private,,,42.2527785,-71.1299976,"Hyde Park, MA 02136, USA",full_match
Larchmont Residence,Dorchester,02124,8,8,0,0,0,0,8,8,0,Rental,Private,,,42.2970811,-71.0684639,"Larchmont St, Boston, MA 02124, USA",full_match
Larkin (VUP),Jamaica Plain,02130,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.3490862,-71.1014951,"610 Commonwealth Ave, Boston, MA 02215, USA",full_match
Latin Academy Adaptive Re-use,Dorchester,02124,58,58,0,38,38,0,20,20,0,Rental,Private,,,42.3157732,-71.0845276,"205 Townsend St, Boston, MA 02121, USA",full_match
Lawrence (VUP),Dorchester,02121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.311784,-71.0765474,"Lawrence Ave, Boston, MA 02121, USA",full_match
Lawrence Court,South End,02116,12,0,12,9,0,9,3,0,3,Ownership,Private,,,42.3461157,-71.0729718,"Lawrence St, Boston, MA 02116, USA",full_match
LBB Housing,Dorchester,02126,101,101,0,0,0,0,101,101,0,Rental,Private,,Y,42.2771417,-71.0913748,"Mattapan, MA 02126, USA",full_match
Leila Doe House,Mission Hill,02120,20,20,0,1,1,0,19,19,0,Rental,Private,,,42.3298994,-71.1059676,"Mission Hill, Boston, MA, USA",full_match
Lenox Street (2-4),Roxbury,02118,285,285,0,0,0,0,285,285,0,Rental,Public,,,42.3364753,-71.0808573,"Lenox St, Boston, MA 02118, USA",full_match
Levedo Building,Dorchester,02124,24,24,0,0,0,0,24,24,0,Rental,Private,,,42.2826027,-71.067605,"DORCHESTR CTR, MA 02124, USA",full_match
Leventhal House,Brighton,02135,254,254,0,1,1,0,253,253,0,Rental,Private,Y,Y,42.3550715,-71.1496153,"218 Market St, Brighton, MA 02135, USA",full_match
Lewis Mall,East Boston,02128,47,47,0,0,0,0,47,47,0,Rental,Private,Y,,42.36587,-71.04196000000002,"Lewis Mall Wharf, Boston, MA 02128, USA",full_match
Lithgow Apts,Dorchester,02124,31,31,0,0,0,0,31,31,0,Rental,Private,,,42.2900808,-71.0693249,"Lithgow St, Boston, MA 02124, USA",full_match
Little Chestnut Street Condominium,Charlestown,02129,6,0,6,0,0,0,6,0,6,Ownership,Private,,,42.3745862,-71.0589794,"Chestnut St, Boston, MA 02129, USA",full_match
Lofts at Westinghouse Plaza,Hyde Park,02136,62,16,46,53,16,37,9,0,9,Rental,Private,,,42.2443458,-71.1329324,"Westinghouse Plaza, Boston, MA 02136, USA",full_match
LOGO Apts (73u),Roxbury,02119,91,91,0,0,0,0,91,91,0,Rental,Private,,Y,42.32182359999999,-71.08840359999999,"Roxbury, MA 02119, USA",full_match
Long Glen Apartments,Allston,02134,59,59,0,0,0,0,59,59,0,Rental,Public/Private,,,42.3528712,-71.1334375,"56 Park Vale Ave, Allston, MA 02134, USA",full_match
