Project_Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,Latitude,Longitude,Geocoded_Address,Geocode_Quality
x South Huntington,Mission Hill,02116,38,38,0,33,33,0,5,5,0,Rental,Private,,,42.3317619,-71.1120027,"S Huntington Ave, Boston, MA, USA",full_match
x Southern Ave (Johnson VUP),Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.2902779,-71.0747093,"Southern Ave, Boston, MA 02124, USA",full_match
x Spencer St (RDP),Dorchester,02124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.2937201,-71.0760587,"Spencer St, Boston, MA 02124, USA",full_match
x Spencer Street,Dorchester,02124,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.2937201,-71.0760587,"Spencer St, Boston, MA 02124, USA",full_match
x Spring Street,West Roxbury,02132,11,11,0,10,10,0,1,1,0,Rental,Private,,,42.2756416,-71.1673651,"Spring St, Boston, MA 02132, USA",full_match
x St Alphonsus St,Mission Hill,02120,115,115,0,100,100,0,15,15,0,Rental,Private,,,42.3339893,-71.1006825,"St Alphonsus St, ROXBURY CROSSING, MA 02120, USA",full_match
x St Andrew Rd (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3842941,-71.0020787,"St Andrew Rd, Boston, MA 02128, USA",full_match
x St. Andrew Rd (AOP),East Boston,02128,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.3842941,-71.0020787,"St Andrew Rd, Boston, MA 02128, USA",full_match
x Stanwood St,Dorchester,02121,12,12,0,10,10,0,2,2,0,Rental,Private,,,42.3086474,-71.0792295,"Stanwood St, Boston, MA 02121, USA",full_match
x Stedman St,Jamaica Plain,02130,21,21,0,17,17,0,4,4,0,Rental,Private,,,42.3042568,-71.1073191,"Stedman St, Boston, MA 02130, USA",full_match
x Stillman St. Conodminium,North End,02113,28,0,28,25,0,25,3,0,3,Ownership,Private,,,42.3638624,-71.0567656,"Stillman St, Boston, MA 02113, USA",full_match
x Stonley,Jamaica Plain,02130,28,28,0,23,23,0,5,5,0,Rental,Private,,,42.3080332,-71.1057363,"3422 Washington St, Jamaica Plain, MA 02130, USA",full_match
x Stoughton Neighborhood Homes,Dorchester,02125,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.315947,-71.0626035,"Stoughton St, Boston, MA 02125, USA",full_match
x Stratton Street,Dorchester,02124,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.2892083,-71.0864641,"Stratton St, Boston, MA 02124, USA",full_match
x Summit Aveue,Brighton,02135,15,0,15,14,0,14,1,0,1,Ownership,Private,,,42.3451543,-71.1398903,"Summit Ave, Boston, MA 02135, USA",full_match
x Sumner Street,East Boston,02128,34,34,0,29,29,0,5,5,0,Rental,Private,,,42.3673477,-71.0361966,"Sumner St, Boston, MA 02128, USA",full_match
x Sumner Street [Clippership Wharf Offsite Affd],East Boston,02128,30,0,30,16,0,16,14,0,14,Ownership,Public,,,42.3679826,-71.0415352,"63 Lewis St, East Boston, MA 02128, USA",full_match
x SUSSEX (RDP),Roxbury,02120,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.3360684,-71.08357,"Sussex St, Boston, MA 02120, USA",full_match
x Sussex Street (RDP),Roxbury,02120,1,0,1,0,0,0,1,0,1,Ownership,Private,,,42.3360684,-71.08357,"Sussex St, Boston, MA 02120, USA",full_match
x Taber St,Roxbury,02119,45,0,45,39,0,39,6,0,6,Ownership,Private,,,42.33003,-71.0826555,"Taber St, Boston, MA 02119, USA",full_match
x Tafthill Park,Roslindale,02131,19,0,19,17,0,17,2,0,2,Ownership,Private,,,42.2879474,-71.1279755,"Taft Hill Park, Boston, MA 02131, USA",full_match
x Talbot Ave,Dorchester,02124,14,14,0,0,0,0,14,14,0,Rental,Private,,,42.2913257,-71.0757638,"Talbot Ave, Boston, MA 02124, USA",full_match
x Talbot Ave (REO),Dorchester,02124,4,3,1,0,0,0,4,3,1,Ownership/Rental,Private,,,42.2913257,-71.0757638,"Talbot Ave, Boston, MA 02124, USA",full_match
x Talbot Avenue,Dorchester,02124,7,7,0,0,0,0,7,7,0,Rental,Private,,,42.2913257,-71.0757638,"Talbot Ave, Boston, MA 02124, USA",full_match
x Tennis Road,Mattapan,02126,12,12,0,0,0,0,12,12,0,Rental,Private,,,42.276353,-71.0959229,"Tennis Rd, Boston, MA 02126, USA",full_match
x Toledo Terrace,Dorchester,02122,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.3013208,-71.061697,"Toledo Terrace, Boston, MA 02122, USA",full_match
x Tonawanda St (Johnson VUP),Dorchester,02124,1,1,0,0,0,0,1,1,0,Rental,Private,,,42.2983963,-71.068265,"Tonawanda St, Boston, MA 02124, USA",full_match
x Topliff St (REO),Dorchester,02122,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.3030621,-71.0681695,"Topliff St, Boston, MA 02122, USA",full_match
x Tremlett Street,Dorchester,02124,2,1,1,1,1,0,1,0,1,Ownership/Rental,Private,,,42.2949805,-71.0694655,"Tremlett St, Boston, MA 02124, USA",full_match
x Tremont,South End,02118,4,4,0,3,3,0,1,1,0,Rental,Private,,,42.342117,-71.0750792,"Tremont St, Boston, MA 02118, USA",full_match
x Tremont St,South End,02118,7,7,0,0,0,0,7,7,0,Rental,Private,,,42.342117,-71.0750792,"Tremont St, Boston, MA 02118, USA",full_match
x Tremont Street,Mission Hill,02120,18,18,0,16,16,0,2,2,0,Rental,Private,,,42.3324932,-71.100038,"Tremont St, Boston, MA, USA",full_match
x Tremont Street Apartments,Brighton,02135,62,62,0,54,54,0,8,8,0,Rental,Private,,,42.3505428,-71.1716532,"Tremont St, Boston, MA 02135, USA",full_match
x Truman Parkway,Hyde Park,02136,46,46,0,40,40,0,6,6,0,Rental,Private,,,42.2489255,-71.1235014,"Truman Pkwy, Boston, MA 02136, USA",full_match
x Union Ave,Jamaica Plain,02130,59,59,0,0,0,0,59,59,0,Rental,Private,,,42.3088249,-71.1066822,"Union Ave, Boston, MA 02130, USA",full_match
x Verrill St & x 0-x 4 Ballou Ave,Dorchester,02124,18,18,0,0,0,0,18,18,0,Rental,Private,,,42.2822089,-71.0879531,"Verrill St, Boston, MA 02126, USA",full_match
x W Broadway,South Boston,02127,42,0,42,37,0,37,5,0,5,Ownership,Private,,,42.3394608,-71.051842,"W Broadway, Boston, MA 02127, USA",full_match
x W Broadway [Seaport Square Block M Offsite],South Boston,02127,16,16,0,0,0,0,16,16,0,Rental,Private,,,42.3394608,-71.051842,"W Broadway, Boston, MA 02127, USA",full_match
x W Fifth St,South Boston,02127,50,50,0,41,41,0,9,9,0,Rental,Private,,,42.3374947,-71.0523898,"W Fifth St, Boston, MA 02127, USA",full_match
x W Newton St,South End,02118,28,28,0,1,1,0,27,27,0,Rental,Private,,,42.3412318,-71.0764334,"W Newton St, Boston, MA 02118, USA",full_match
x W Park St (AOP),Dorchester,02124,3,3,0,0,0,0,3,3,0,Rental,Private,,,42.2941431,-71.0795232,"W Park St, Boston, MA 02124, USA",full_match
x W Second,South Boston,02127,29,0,29,25,0,25,4,0,4,Ownership,Private,,,42.3401149,-71.0492016,"W 2nd St, Boston, MA 02127, USA",full_match
x W Second St,South Boston,02127,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.3401149,-71.0492016,"W 2nd St, Boston, MA 02127, USA",full_match
x Walk Hill St (Johnson VUP),Mattapan,02126,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,,42.2800469,-71.0968717,"Walk Hill St, Boston, MA 02126, USA",full_match
x Walley St,East Boston,02128,38,0,38,33,0,33,5,0,5,Ownership,Private,,,42.3895344,-70.9989219,"Walley St, Boston, MA 02128, USA",full_match
x Ward St,South Boston,02127,14,14,0,12,12,0,2,2,0,Rental,Private,,,42.3292968,-71.0542886,"Ward St, Boston, MA 02127, USA",full_match
x Wareham,South End,02118,18,0,18,16,0,16,2,0,2,Ownership,Private,,,42.3392887,-71.0674517,"Wareham St, Boston, MA 02118, USA",full_match
x Warren St. Lodging,Roxbury,02121,21,21,0,0,0,0,21,21,0,Rental,Private,,,42.3127425,-71.0832793,"Warren St, Boston, MA 02121, USA",full_match
x Warren Street (1-4),Roxbury,02119,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.3235586,-71.082556,"Warren St, Boston, MA 02119, USA",full_match
x Warren Supportive Housing Phase 1 - Acquisition,Roxbury,02121,10,10,0,0,0,0,10,10,0,Rental,Private,,,42.3304372,-71.0611924,"US-1, Boston, MA, USA",full_match
x Washington,West Roxbury,02132,46,46,0,40,40,0,6,6,0,Rental,Private,,,42.266105,-71.1519573,"Washington St, Boston, MA 02132, USA",full_match
x Washington (Archer/Bonell),Roxbury,02119,12,12,0,11,11,0,1,1,0,Rental,Private,,,42.3235377,-71.0894421,"Washington St, Boston, MA 02119, USA",full_match
x Washington [Belvidere/Dalton East Offsites],Roxbury,02119,16,0,16,9,0,9,7,0,7,Ownership,Private,,,42.3462047,-71.0845968,"Belvidere/Dalton Plaza, Dalton St, Boston, MA 02199, USA",full_match
x Washington St,South End,02118,15,15,0,,0,0,15,15,0,Rental,public,,,42.3398482,-71.0721335,"Washington St, Boston, MA 02118, USA",full_match
x Washington St (AOP),Roslindale,02131,26,26,0,0,0,0,26,26,0,Rental,Private,,,42.2871039,-71.1275274,"Washington St, Boston, MA 02131, USA",full_match
x Washington St AB&W Cooperative Building,Dorchester,02121,24,24,0,0,0,0,24,24,0,Rental,Private,,,42.3039923,-71.0790043,"Washington St, Boston, MA 02121, USA",full_match
x Washington St Lodging,Dorchester,02124,10,10,0,0,0,0,10,10,0,Rental,Private,,,42.3065589,-71.1074023,"Washington St, Boston, MA, USA",city_only
x Washington Street,Roslindale,02131,28,0,28,27,0,27,1,0,1,Ownership,Private,,,42.2871039,-71.1275274,"Washington St, Boston, MA 02131, USA",full_match
x Washington Street Project,West Roxbury,02132,20,0,20,17,0,17,3,0,3,Ownership,Private,,,42.266105,-71.1519573,"Washington St, Boston, MA 02132, USA",full_match
x Waverly Street,Roxbury,02119,8,8,0,0,0,0,8,8,0,Rental,Private,,,42.3206123,-71.0795149,"Waverly St, Boston, MA 02119, USA",full_match
x Wayland St. Dorchester - COB,Roxbury,02125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,,42.3136946,-71.0727313,"Wayland St, Boston, MA 02125, USA",full_match
"x Wellesley Park, #1",Dorchester,02124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,,42.297228,-71.0656659,"1 Wellesley Park, Boston, MA 02124, USA",full_match
x Wenhan St (RDP),Jamaica Plain,02130,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,,42.2968656,-71.1144497,"Wenham St, Boston, MA 02130, USA",full_match
